ID, address
1, "1109 N Highland St, Arlington, VA"
2, "229 N HOWARD ST ALEXANDRIA VA 22304-2358 USA"
3, "4258 BUCKMAN RD ALEXANDRIA VA 22309-4404 USA"
4, "401 LAUREL WOOD LN BERRYVILLE VA 22611-2446 USA"
5, "13609 CARROLLTON BLVD CARROLLTON VA 23314-3214 USA"
6, "210 DILLON CIR FORT EUSTIS VA 23604-5353 USA"
7, "34400 WALNUT HILL RD WAVERLY VA 23890-3307 USA"
8, "2700 JEB STUART HWY MEADOWS OF DAN VA 24120-4105 USA"
9, "3801 BULL HILL RD SAINT PAUL VA 24283-3201 USA"
10, "16 LICHFIELD BLVD FREDERICKSBURG VA 22403-1284 USA"
